var,type,low,high,err
a,flt,0.000000000000000000000000000000e+00,1.000000000000000000000000000000e+02,0.000000000000000000000000000000e+00

b,flt,0.000000000000000000000000000000e+00,1.000000000000000000000000000000e+02,0.000000000000000000000000000000e+00

r,flt,                 nan,                 nan,                 nan
r,flt,4.940656458412465441765687928682e-324,1.421085471520200213970067490954e-14,4.440892098500626792783250849173e-14
r,flt,1.421085471520200371742248535156e-14,5.684341886080800855880269963816e-14,4.440892098500627423871975025982e-14
r,flt,5.684341886080801486968994140625e-14,1.136868377216160171176053992763e-13,4.440892098500628054960699202792e-14
r,flt,1.136868377216160297393798828125e-13,2.273736754432320342352107985526e-13,4.440892098500629317138147556411e-14
r,flt,2.273736754432320594787597656250e-13,4.547473508864640684704215971052e-13,4.440892098500631841493044263648e-14
r,flt,4.547473508864641189575195312500e-13,9.094947017729281369408431942105e-13,4.440892098500636890202837678124e-14
r,flt,9.094947017729282379150390625000e-13,1.818989403545856273881686388421e-12,4.440892098500646987622424507075e-14
r,flt,1.818989403545856475830078125000e-12,3.637978807091712547763372776842e-12,4.440892098500667182461598164977e-14
r,flt,3.637978807091712951660156250000e-12,7.275957614183425095526745553684e-12,4.440892098500707572139945480782e-14
r,flt,7.275957614183425903320312500000e-12,1.455191522836685019105349110737e-11,4.440892098500788351496640112390e-14
r,flt,1.455191522836685180664062500000e-11,2.910383045673370038210698221474e-11,4.440892098500949910210029375608e-14
r,flt,2.910383045673370361328125000000e-11,5.820766091346740076421396442947e-11,4.440892098501273027636807902044e-14
r,flt,5.820766091346740722656250000000e-11,1.164153218269348015284279288589e-10,4.440892098501919262490364954915e-14
r,flt,1.164153218269348144531250000000e-10,2.328306436538696030568558577179e-10,4.440892098503211732197479060657e-14
r,flt,2.328306436538696289062500000000e-10,4.656612873077392061137117154358e-10,4.440892098505796671611707272141e-14
r,flt,4.656612873077392578125000000000e-10,9.313225746154784122274234308715e-10,4.440892098510966550440163695109e-14
r,flt,9.313225746154785156250000000000e-10,1.862645149230956824454846861743e-09,4.440892098521306308097076541045e-14
r,flt,1.862645149230957031250000000000e-09,3.725290298461913648909693723486e-09,4.440892098541985823410902232916e-14
r,flt,3.725290298461914062500000000000e-09,7.450580596923827297819387446972e-09,4.440892098583344854038553616660e-14
r,flt,7.450580596923828125000000000000e-09,1.490116119384765459563877489394e-08,4.440892098666062915293856384147e-14
r,flt,1.490116119384765625000000000000e-08,2.980232238769530919127754978789e-08,4.440892098831499037804461919121e-14
r,flt,2.980232238769531250000000000000e-08,5.960464477539061838255509957578e-08,4.440892099162371282825672989070e-14
r,flt,5.960464477539062500000000000000e-08,1.192092895507812367651101991516e-07,4.440892099824115772868095128967e-14
