var,type,low,high,err
x,flt,-1.000000000000000000000000000000e+01,1.000000000000000000000000000000e+01,0.000000000000000000000000000000e+00

z,flt,-3.552713678800500534925168727385e-15,3.552713678800500534925168727385e-15,4.440892098500626161694526672363e-15
z,flt,3.552713678800500929355621337891e-15,7.105427357601001069850337454769e-15,4.440892098500626950555431893375e-15
z,flt,-7.105427357601001069850337454769e-15,-3.552713678800500929355621337891e-15,4.440892098500626950555431893375e-15
z,flt,7.105427357601001858711242675781e-15,1.421085471520200213970067490954e-14,4.440892098500627739416337114387e-15
z,flt,-1.421085471520200213970067490954e-14,-7.105427357601001858711242675781e-15,4.440892098500627739416337114387e-15
z,flt,1.421085471520200371742248535156e-14,2.842170943040400427940134981908e-14,4.440892098500629317138147556411e-15
z,flt,-2.842170943040400427940134981908e-14,-1.421085471520200371742248535156e-14,4.440892098500629317138147556411e-15
z,flt,2.842170943040400743484497070312e-14,5.684341886080800855880269963816e-14,4.440892098500632472581768440458e-15
z,flt,-5.684341886080800855880269963816e-14,-2.842170943040400743484497070312e-14,4.440892098500632472581768440458e-15
z,flt,5.684341886080801486968994140625e-14,1.136868377216160171176053992763e-13,4.440892098500638783469010208552e-15
z,flt,-1.136868377216160171176053992763e-13,-5.684341886080801486968994140625e-14,4.440892098500638783469010208552e-15
z,flt,1.136868377216160297393798828125e-13,2.273736754432320342352107985526e-13,4.440892098500651405243493744741e-15
z,flt,-2.273736754432320342352107985526e-13,-1.136868377216160297393798828125e-13,4.440892098500651405243493744741e-15
z,flt,2.273736754432320594787597656250e-13,4.547473508864640684704215971052e-13,4.440892098500676648792460817119e-15
z,flt,-4.547473508864640684704215971052e-13,-2.273736754432320594787597656250e-13,4.440892098500676648792460817119e-15
z,flt,4.547473508864641189575195312500e-13,9.094947017729281369408431942105e-13,4.440892098500727135890394961874e-15
z,flt,-9.094947017729281369408431942105e-13,-4.547473508864641189575195312500e-13,4.440892098500727135890394961874e-15
z,flt,9.094947017729282379150390625000e-13,1.818989403545856273881686388421e-12,4.440892098500828110086263251385e-15
z,flt,-1.818989403545856273881686388421e-12,-9.094947017729282379150390625000e-13,4.440892098500828110086263251385e-15
z,flt,1.818989403545856475830078125000e-12,3.637978807091712547763372776842e-12,4.440892098501030058477999830408e-15
z,flt,-3.637978807091712547763372776842e-12,-1.818989403545856475830078125000e-12,4.440892098501030058477999830408e-15
z,flt,3.637978807091712951660156250000e-12,7.275957614183425095526745553684e-12,4.440892098501433955261472988452e-15
z,flt,-7.275957614183425095526745553684e-12,-3.637978807091712951660156250000e-12,4.440892098501433955261472988452e-15
z,flt,7.275957614183425903320312500000e-12,1.455191522836685019105349110737e-11,4.440892098502241748828419304541e-15
z,flt,-1.455191522836685019105349110737e-11,-7.275957614183425903320312500000e-12,4.440892098502241748828419304541e-15
z,flt,1.455191522836685180664062500000e-11,2.910383045673370038210698221474e-11,4.440892098503857335962311936718e-15
