var,type,low,high,err
x,flt,-1.000000000000000000000000000000e+01,1.000000000000000000000000000000e+01,0.000000000000000000000000000000e+00

z,flt,-4.450147717014402272114819593418e-308,1.330000000000000071054273576010e+00,1.776356839400250464677810668945e-15
z,flt,-1.776356839400250267462584363692e-15,-4.556951262222748432568796605097e-305,1.776356839400250464677810668945e-15
z,flt,1.776356839400250464677810668945e-15,3.552713678800500534925168727385e-15,1.776356839400250859108263279451e-15
z,flt,-3.552713678800500534925168727385e-15,-1.776356839400250464677810668945e-15,1.776356839400250859108263279451e-15
z,flt,3.552713678800500929355621337891e-15,7.105427357601001069850337454769e-15,1.776356839400251253538715889957e-15
z,flt,-7.105427357601001069850337454769e-15,-3.552713678800500929355621337891e-15,1.776356839400251253538715889957e-15
z,flt,7.105427357601001858711242675781e-15,1.421085471520200213970067490954e-14,1.776356839400252042399621110969e-15
z,flt,-1.421085471520200213970067490954e-14,-7.105427357601001858711242675781e-15,1.776356839400252042399621110969e-15
z,flt,1.421085471520200371742248535156e-14,2.842170943040400427940134981908e-14,1.776356839400253620121431552993e-15
z,flt,-2.842170943040400427940134981908e-14,-1.421085471520200371742248535156e-14,1.776356839400253620121431552993e-15
z,flt,2.842170943040400743484497070312e-14,5.684341886080800855880269963816e-14,1.776356839400256775565052437040e-15
z,flt,-5.684341886080800855880269963816e-14,-2.842170943040400743484497070312e-14,1.776356839400256775565052437040e-15
z,flt,5.684341886080801486968994140625e-14,1.136868377216160171176053992763e-13,1.776356839400263086452294205134e-15
z,flt,-1.136868377216160171176053992763e-13,-5.684341886080801486968994140625e-14,1.776356839400263086452294205134e-15
z,flt,1.136868377216160297393798828125e-13,2.273736754432320342352107985526e-13,1.776356839400275708226777741323e-15
z,flt,-2.273736754432320342352107985526e-13,-1.136868377216160297393798828125e-13,1.776356839400275708226777741323e-15
z,flt,2.273736754432320594787597656250e-13,4.547473508864640684704215971052e-13,1.776356839400300951775744813701e-15
z,flt,-4.547473508864640684704215971052e-13,-2.273736754432320594787597656250e-13,1.776356839400300951775744813701e-15
z,flt,4.547473508864641189575195312500e-13,9.094947017729281369408431942105e-13,1.776356839400351438873678958456e-15
z,flt,-9.094947017729281369408431942105e-13,-4.547473508864641189575195312500e-13,1.776356839400351438873678958456e-15
z,flt,9.094947017729282379150390625000e-13,1.818989403545856273881686388421e-12,1.776356839400452413069547247967e-15
z,flt,-1.818989403545856273881686388421e-12,-9.094947017729282379150390625000e-13,1.776356839400452413069547247967e-15
z,flt,1.818989403545856475830078125000e-12,3.637978807091712547763372776842e-12,1.776356839400654361461283826990e-15
z,flt,-3.637978807091712547763372776842e-12,-1.818989403545856475830078125000e-12,1.776356839400654361461283826990e-15
z,flt,3.637978807091712951660156250000e-12,7.275957614183425095526745553684e-12,1.776356839401058258244756985034e-15
z,flt,-7.275957614183425095526745553684e-12,-3.637978807091712951660156250000e-12,1.776356839401058258244756985034e-15
