var,type,low,high,err
ret,flt,-1.387778780781445521455144034135e-17,-4.940656458412465441765687928682e-324,3.700743415417189495241409233495e-17
ret,flt,-4.940656458412465441765687928682e-324,0.000000000000000000000000000000e+00,3.700743415417189495241409233495e-17
ret,flt,-3.700743415417188262646244825664e-17,-1.387778780781445675529539585114e-17,3.700743415417190111538991437411e-17
ret,flt,-5.551115123125782085820576136539e-17,-3.700743415417188878943827029580e-17,3.700743415417194425622066864819e-17
ret,flt,-7.401486830834376525292489651328e-17,-5.551115123125782702118158340454e-17,3.700743415417195041919649068734e-17
ret,flt,-1.110223024625156417164115227308e-16,-7.401486830834377757887654059159e-17,3.700743415417198123407560088312e-17
ret,flt,-1.480297366166875305058497930266e-16,-1.110223024625156540423631668091e-16,3.700743415417199356002724496143e-17
ret,flt,-2.220446049250312834328230454615e-16,-1.480297366166875551577530811832e-16,3.700743415417206751573710943128e-17
ret,flt,-2.960594732333750610116995860531e-16,-2.220446049250313080847263336182e-16,3.700743415417209216764039758790e-17
ret,flt,-4.440892098500625668656460909231e-16,-2.960594732333751103155061623664e-16,3.700743415417223391608430448846e-17
ret,flt,-5.921189464667501220233991721063e-16,-4.440892098500626161694526672363e-16,3.700743415417228321989088080170e-17
ret,flt,-8.881784197001251337312921818462e-16,-5.921189464667502206310123247328e-16,3.700743415417256671677869460282e-17
ret,flt,-1.184237892933500244046798344213e-15,-8.881784197001252323389053344727e-16,3.700743415417266532439184722929e-17
ret,flt,-1.776356839400250267462584363692e-15,-1.184237892933500441262024649466e-15,3.700743415417323231816747483153e-17
ret,flt,-2.368475785867000488093596688425e-15,-1.776356839400250464677810668945e-15,3.700743415417342953339378008448e-17
ret,flt,-3.552713678800500534925168727385e-15,-2.368475785867000882524049298931e-15,3.700743415417456968392085732810e-17
ret,flt,-4.736951571734000976187193376850e-15,-3.552713678800500929355621337891e-15,3.700743415417496411437346783401e-17
ret,flt,-7.105427357601001069850337454769e-15,-4.736951571734001765048098597862e-15,3.700743415417724441542762232126e-17
ret,flt,-9.473903143468001952374386753700e-15,-7.105427357601001858711242675781e-15,3.700743415417803327633284333306e-17
ret,flt,-1.421085471520200213970067490954e-14,-9.473903143468003530096197195724e-15,3.700743415418259387844115230756e-17
ret,flt,-1.894780628693600390474877350740e-14,-1.421085471520200371742248535156e-14,3.700743415418417160025159433117e-17
ret,flt,-2.842170943040400427940134981908e-14,-1.894780628693600706019239439145e-14,3.700743415419328664149239024102e-17
