var,type,low,high,err
tmp,flt,2.000000000000000000000000000000e+00,2.000000000000000888178419700125e+00,2.000000000000000888178419700125e+00
tmp,flt,2.000000000000000888178419700125e+00,2.000000000000001776356839400250e+00,2.000000000000001776356839400250e+00
tmp,flt,2.000000000000001776356839400250e+00,2.000000000000003552713678800501e+00,2.000000000000003552713678800501e+00
tmp,flt,2.000000000000003552713678800501e+00,2.000000000000007105427357601002e+00,2.000000000000007105427357601002e+00
tmp,flt,2.000000000000007105427357601002e+00,2.000000000000014210854715202004e+00,2.000000000000014210854715202004e+00
tmp,flt,2.000000000000014210854715202004e+00,2.000000000000028421709430404007e+00,2.000000000000028421709430404007e+00
tmp,flt,2.000000000000028421709430404007e+00,2.000000000000056843418860808015e+00,2.000000000000056843418860808015e+00
tmp,flt,2.000000000000056843418860808015e+00,2.000000000000113686837721616030e+00,2.000000000000113686837721616030e+00
tmp,flt,2.000000000000113686837721616030e+00,2.000000000000227373675443232059e+00,2.000000000000227373675443232059e+00
tmp,flt,2.000000000000227373675443232059e+00,2.000000000000454747350886464119e+00,2.000000000000454747350886464119e+00
tmp,flt,2.000000000000454747350886464119e+00,2.000000000000909494701772928238e+00,2.000000000000909494701772928238e+00
tmp,flt,2.000000000000909494701772928238e+00,2.000000000001818989403545856476e+00,2.000000000001818989403545856476e+00
tmp,flt,2.000000000001818989403545856476e+00,2.000000000003637978807091712952e+00,2.000000000003637978807091712952e+00
tmp,flt,2.000000000003637978807091712952e+00,2.000000000007275957614183425903e+00,2.000000000007275957614183425903e+00
tmp,flt,2.000000000007275957614183425903e+00,2.000000000014551915228366851807e+00,2.000000000014551915228366851807e+00
tmp,flt,2.000000000014551915228366851807e+00,2.000000000029103830456733703613e+00,2.000000000029103830456733703613e+00
tmp,flt,2.000000000029103830456733703613e+00,2.000000000058207660913467407227e+00,2.000000000058207660913467407227e+00
tmp,flt,2.000000000058207660913467407227e+00,2.000000000116415321826934814453e+00,2.000000000116415321826934814453e+00
tmp,flt,2.000000000116415321826934814453e+00,2.000000000232830643653869628906e+00,2.000000000232830643653869628906e+00
tmp,flt,2.000000000232830643653869628906e+00,2.000000000465661287307739257812e+00,2.000000000465661287307739257812e+00
tmp,flt,2.000000000465661287307739257812e+00,2.000000000931322574615478515625e+00,2.000000000931322574615478515625e+00
tmp,flt,2.000000000931322574615478515625e+00,2.000000001862645149230957031250e+00,2.000000001862645149230957031250e+00
tmp,flt,2.000000001862645149230957031250e+00,2.000000003725290298461914062500e+00,2.000000003725290298461914062500e+00
tmp,flt,2.000000003725290298461914062500e+00,2.000000007450580596923828125000e+00,2.000000007450580596923828125000e+00
tmp,flt,2.000000007450580596923828125000e+00,2.000000014901161193847656250000e+00,2.000000014901161193847656250000e+00
tmp,flt,2.000000014901161193847656250000e+00,2.000000029802322387695312500000e+00,2.000000029802322387695312500000e+00
tmp,flt,2.000000029802322387695312500000e+00,2.000000059604644775390625000000e+00,2.000000059604644775390625000000e+00
tmp,flt,2.000000059604644775390625000000e+00,2.000000119209289550781250000000e+00,2.000000119209289550781250000000e+00
tmp,flt,2.000000119209289550781250000000e+00,2.000000238418579101562500000000e+00,2.000000238418579101562500000000e+00
tmp,flt,2.000000238418579101562500000000e+00,2.000000476837158203125000000000e+00,2.000000476837158203125000000000e+00
tmp,flt,2.000000476837158203125000000000e+00,2.000000953674316406250000000000e+00,2.000000953674316406250000000000e+00
tmp,flt,2.000000953674316406250000000000e+00,2.000001907348632812500000000000e+00,2.000001907348632812500000000000e+00
tmp,flt,2.000001907348632812500000000000e+00,2.000003814697265625000000000000e+00,2.000003814697265625000000000000e+00
tmp,flt,2.000003814697265625000000000000e+00,2.000007629394531250000000000000e+00,2.000007629394531250000000000000e+00
tmp,flt,2.000007629394531250000000000000e+00,2.000015258789062500000000000000e+00,2.000015258789062500000000000000e+00
tmp,flt,2.000015258789062500000000000000e+00,2.000030517578125000000000000000e+00,2.000030517578125000000000000000e+00
tmp,flt,2.000030517578125000000000000000e+00,2.000061035156250000000000000000e+00,2.000061035156250000000000000000e+00
tmp,flt,2.000061035156250000000000000000e+00,2.000122070312500000000000000000e+00,2.000122070312500000000000000000e+00
tmp,flt,2.000122070312500000000000000000e+00,2.000244140625000000000000000000e+00,2.000244140625000000000000000000e+00
tmp,flt,2.000244140625000000000000000000e+00,2.000488281250000000000000000000e+00,2.000488281250000000000000000000e+00
tmp,flt,2.000488281250000000000000000000e+00,2.000976562500000000000000000000e+00,2.000976562500000000000000000000e+00
tmp,flt,2.000976562500000000000000000000e+00,2.001953125000000000000000000000e+00,2.001953125000000000000000000000e+00
tmp,flt,2.001953125000000000000000000000e+00,2.003906250000000000000000000000e+00,2.003906250000000000000000000000e+00
tmp,flt,2.003906250000000000000000000000e+00,2.007812500000000000000000000000e+00,2.007812500000000000000000000000e+00
tmp,flt,2.007812500000000000000000000000e+00,2.015625000000000000000000000000e+00,2.015625000000000000000000000000e+00
tmp,flt,2.015625000000000000000000000000e+00,2.031250000000000000000000000000e+00,2.031250000000000000000000000000e+00
tmp,flt,2.031250000000000000000000000000e+00,2.062500000000000000000000000000e+00,2.062500000000000000000000000000e+00
tmp,flt,2.062500000000000000000000000000e+00,2.125000000000000000000000000000e+00,2.125000000000000000000000000000e+00
tmp,flt,2.125000000000000000000000000000e+00,2.250000000000000000000000000000e+00,2.250000000000000000000000000000e+00
tmp,flt,2.250000000000000000000000000000e+00,2.500000000000000000000000000000e+00,2.500000000000000000000000000000e+00
tmp,flt,2.500000000000000000000000000000e+00,3.000000000000000000000000000000e+00,3.000000000000000000000000000000e+00
tmp,flt,3.000000000000000000000000000000e+00,3.999999999999999555910790149937e+00,3.999999999999999555910790149937e+00
tmp,flt,4.000000000000000000000000000000e+00,6.000000000000000000000000000000e+00,6.000000000000000000000000000000e+00
tmp,flt,6.000000000000000000000000000000e+00,7.999999999999999111821580299875e+00,7.999999999999999111821580299875e+00
tmp,flt,8.000000000000000000000000000000e+00,1.000000000000000000000000000000e+01,1.000000000000000000000000000000e+01
tmp,flt,1.000000000000000000000000000000e+01,1.599999999999999822364316059975e+01,1.599999999999999822364316059975e+01
tmp,flt,1.600000000000000000000000000000e+01,1.800000000000000000000000000000e+01,1.800000000000000000000000000000e+01
tmp,flt,1.800000000000000000000000000000e+01,3.199999999999999644728632119950e+01,3.199999999999999644728632119950e+01
tmp,flt,3.200000000000000000000000000000e+01,3.400000000000000000000000000000e+01,3.400000000000000000000000000000e+01
tmp,flt,3.400000000000000000000000000000e+01,6.399999999999999289457264239900e+01,6.399999999999999289457264239900e+01
tmp,flt,6.400000000000000000000000000000e+01,6.600000000000000000000000000000e+01,6.600000000000000000000000000000e+01
