var,type,low,high,err
T,flt,-3.000000000000000000000000000000e+01,5.000000000000000000000000000000e+01,0.000000000000000000000000000000e+00

r,flt,-3.124999999999999653055304804639e-02,-2.944244059231351795524744829891e-02,3.284047419793782784383703625887e-14
r,flt,-3.188501702945503724073716966814e-02,-3.125000000000000000000000000000e-02,3.284394364488978145802586010783e-14
r,flt,-3.263657901011396411661280581029e-02,-3.188501702945503724073716966814e-02,3.311680905784386524902658119819e-14
r,flt,-3.847997340973713376044429423928e-02,-3.263657901011396411661280581029e-02,3.363913943914574515954129808721e-14
r,flt,-4.782104492187500693889390390723e-02,-3.847997340973713376044429423928e-02,3.373899966848428446968302140673e-14
r,flt,-5.178833007812500693889390390723e-02,-4.782104492187500693889390390723e-02,6.581194146259713203989757932803e-14
r,flt,-5.300903320312500693889390390723e-02,-5.178833007812500693889390390723e-02,6.636075992708448485645421709882e-14
r,flt,-6.249999999999999306110609609277e-02,-5.300903320312500693889390390723e-02,6.742942707964130669314389368130e-14
r,flt,-6.250000000000001387778780781446e-02,-6.250000000000000000000000000000e-02,6.743636597354521392152154137923e-14
r,flt,-9.564208984375001387778780781446e-02,-6.250000000000001387778780781446e-02,6.779417352747594041359703200596e-14
r,flt,-1.035766601562500138777878078145e-01,-9.564208984375001387778780781446e-02,7.889316406326149838422402406856e-14
r,flt,-1.060180664062500138777878078145e-01,-1.035766601562500138777878078145e-01,7.955007795261588746919568445189e-14
r,flt,-1.147346532333645974244262788488e-01,-1.060180664062500138777878078145e-01,8.082070677570586284899017556852e-14
r,flt,-1.242531630740393855383274512860e-01,-1.147346532333645974244262788488e-01,9.458098690548828357403284948061e-14
r,flt,-1.249999999999999861222121921855e-01,-1.242531630740393855383274512860e-01,9.536765925342650112455982777150e-14
r,flt,-1.271819353327085511118355043436e-01,-1.250000000000000000000000000000e-01,9.538153704123431558131512316735e-14
r,flt,-1.499531396438613106703030553035e-01,-1.271819353327085511118355043436e-01,9.689510092574203736246820860354e-14
r,flt,-2.499999999999999722444243843711e-01,-1.499531396438613106703030553035e-01,9.724963609750745336111834787525e-14
r,flt,-2.999062792877226213406061106070e-01,-2.500000000000000000000000000000e-01,9.727739167312308227462893866696e-14
r,flt,-4.999999999999999444888487687422e-01,-2.999062792877226213406061106070e-01,9.798646201665393951547818428277e-14
r,flt,-5.998125585754452426812122212141e-01,-5.000000000000000000000000000000e-01,9.804197316788519734249936586618e-14
r,flt,-9.999999999999998889776975374843e-01,-5.998125585754452426812122212141e-01,9.946011385494692444597234063400e-14
r,flt,-1.199625117150890485362424442428e+00,-1.000000000000000000000000000000e+00,9.957113615740944010001470380081e-14
r,flt,-1.999999999999999777955395074969e+00,-1.199625117150890485362424442428e+00,1.024074175315328690634116862641e-13
r,flt,-2.399250234301780970724848884856e+00,-2.000000000000000000000000000000e+00,1.026294621364579003714964125977e-13
r,flt,-3.999999999999999555910790149937e+00,-2.399250234301780970724848884856e+00,1.083020248847047709200648610604e-13
r,flt,-4.000000000000000888178419700125e+00,-4.000000000000000000000000000000e+00,1.087461140945548335362343137276e-13
r,flt,-4.798500468603561941449697769713e+00,-4.000000000000000888178419700125e+00,1.137522259546389435318020639884e-13
r,flt,-7.999999999999999111821580299875e+00,-4.798500468603561941449697769713e+00,1.200912395910485998769201777254e-13
r,flt,-8.000000000000001776356839400250e+00,-8.000000000000000000000000000000e+00,1.209794180107487251092590830599e-13
r,flt,-1.599999999999999822364316059975e+01,-8.000000000000001776356839400250e+00,1.604397712774712267126878561564e-13
r,flt,-1.600000000000000355271367880050e+01,-1.600000000000000000000000000000e+01,1.622161281168714771773656668253e-13
r,flt,-3.199999999999999644728632119950e+01,-1.600000000000000355271367880050e+01,2.538148619231357678309104734199e-13
r,flt,-3.200000000000000710542735760100e+01,-3.200000000000000000000000000000e+01,2.573675756019362687602660947578e-13
r,flt,-6.399999999999999289457264239900e+01,-3.200000000000000710542735760100e+01,3.918385249038724960788391898604e-13
r,flt,-6.400000000000001421085471520200e+01,-6.400000000000000000000000000000e+01,3.989439522614734979375504325361e-13
r,flt,-7.677600749765699106319516431540e+01,-6.400000000000001421085471520200e+01,4.096767569492040716537923059832e-13
r,flt,-1.279999999999999857891452847980e+02,-7.677600749765699106319516431540e+01,4.263681154969875927821477738088e-13
r,flt,-1.587191444098274928364844527096e+02,-1.280000000000000000000000000000e+02,4.405789702121895964995702591604e-13

t1,flt,3.313999999999998635757947340608e+02,3.314000000000000909494701772928e+02,1.192379528447418124414980411530e-13
t1,flt,3.314000000000000909494701772928e+02,3.314000000000002046363078989089e+02,1.192379528447418376850470082253e-13
t1,flt,3.313999999999997498889570124447e+02,3.313999999999998635757947340608e+02,1.192379528447418376850470082253e-13
t1,flt,3.314000000000002046363078989089e+02,3.314000000000004320099833421409e+02,1.192379528447418629285959752977e-13
t1,flt,3.313999999999995225152815692127e+02,3.313999999999997498889570124447e+02,1.192379528447418629285959752977e-13
t1,flt,3.314000000000004320099833421409e+02,3.314000000000008867573342286050e+02,1.192379528447419134156939094425e-13
t1,flt,3.313999999999990677679306827486e+02,3.313999999999995225152815692127e+02,1.192379528447419134156939094425e-13
t1,flt,3.314000000000008867573342286050e+02,3.314000000000017962520360015333e+02,1.192379528447420143898897777320e-13
t1,flt,3.313999999999981582732289098203e+02,3.313999999999990677679306827486e+02,1.192379528447420143898897777320e-13
t1,flt,3.314000000000017962520360015333e+02,3.314000000000036152414395473897e+02,1.192379528447422163382815143110e-13
t1,flt,3.313999999999963392838253639638e+02,3.313999999999981582732289098203e+02,1.192379528447422163382815143110e-13
t1,flt,3.314000000000036152414395473897e+02,3.314000000000072532202466391027e+02,1.192379528447426202350649874690e-13
t1,flt,3.313999999999927013050182722509e+02,3.313999999999963392838253639638e+02,1.192379528447426202350649874690e-13
t1,flt,3.314000000000072532202466391027e+02,3.314000000000145291778608225286e+02,1.192379528447434280286319337851e-13
t1,flt,3.313999999999854253474040888250e+02,3.313999999999927013050182722509e+02,1.192379528447434280286319337851e-13
t1,flt,3.314000000000145291778608225286e+02,3.314000000000290810930891893804e+02,1.192379528447450436157658264173e-13
t1,flt,3.313999999999708734321757219732e+02,3.313999999999854253474040888250e+02,1.192379528447450436157658264173e-13
t1,flt,3.314000000000290810930891893804e+02,3.314000000000581849235459230840e+02,1.192379528447482747900336116817e-13
t1,flt,3.313999999999417696017189882696e+02,3.313999999999708734321757219732e+02,1.192379528447482747900336116817e-13
t1,flt,3.314000000000581849235459230840e+02,3.314000000001163925844593904912e+02,1.192379528447547371385691822104e-13
t1,flt,3.313999999998835619408055208623e+02,3.313999999999417696017189882696e+02,1.192379528447547371385691822104e-13
t1,flt,3.314000000001163925844593904912e+02,3.314000000002328079062863253057e+02,1.192379528447676618356403232678e-13
t1,flt,3.313999999997671466189785860479e+02,3.313999999998835619408055208623e+02,1.192379528447676618356403232678e-13
t1,flt,3.314000000002328079062863253057e+02,3.314000000004656385499401949346e+02,1.192379528447935112297826053826e-13
t1,flt,3.313999999995343159753247164190e+02,3.313999999997671466189785860479e+02,1.192379528447935112297826053826e-13
t1,flt,3.314000000004656385499401949346e+02,3.314000000009312998372479341924e+02,1.192379528448452100180671696123e-13
t1,flt,3.313999999990686546880169771612e+02,3.313999999995343159753247164190e+02,1.192379528448452100180671696123e-13
t1,flt,3.314000000009312998372479341924e+02,3.314000000018626224118634127080e+02,1.192379528449486075946362980717e-13
t1,flt,3.313999999981373321134014986455e+02,3.313999999990686546880169771612e+02,1.192379528449486075946362980717e-13
t1,flt,3.314000000018626224118634127080e+02,3.314000000037252675610943697393e+02,1.192379528451554027477745549904e-13
t1,flt,3.313999999962746869641705416143e+02,3.313999999981373321134014986455e+02,1.192379528451554027477745549904e-13
t1,flt,3.314000000037252675610943697393e+02,3.314000000074505578595562838018e+02,1.192379528455689930540510688278e-13
t1,flt,3.313999999925493966657086275518e+02,3.313999999962746869641705416143e+02,1.192379528455689930540510688278e-13
t1,flt,3.314000000074505578595562838018e+02,3.314000000149011384564801119268e+02,1.192379528463961736666040965027e-13
t1,flt,3.313999999850988160687847994268e+02,3.313999999925493966657086275518e+02,1.192379528463961736666040965027e-13
t1,flt,3.314000000149011384564801119268e+02,3.314000000298022996503277681768e+02,1.192379528480505348917101518524e-13
t1,flt,3.313999999701976548749371431768e+02,3.313999999850988160687847994268e+02,1.192379528480505348917101518524e-13
t1,flt,3.314000000298022996503277681768e+02,3.314000000596046220380230806768e+02,1.192379528513592573419222625519e-13
t1,flt,3.313999999403953324872418306768e+02,3.313999999701976548749371431768e+02,1.192379528513592573419222625519e-13
t1,flt,3.314000000596046220380230806768e+02,3.314000001192092668134137056768e+02,1.192379528579767022423464839509e-13
t1,flt,3.313999998807906877118512056768e+02,3.313999999403953324872418306768e+02,1.192379528579767022423464839509e-13
t1,flt,3.314000001192092668134137056768e+02,3.314000002384185563641949556768e+02,1.192379528712115920431949267488e-13
t1,flt,3.313999997615813981610699556768e+02,3.313999998807906877118512056768e+02,1.192379528712115920431949267488e-13
t1,flt,3.314000002384185563641949556768e+02,3.314000004768371354657574556768e+02,1.192379528976813716448918123447e-13
t1,flt,3.313999995231628190595074556768e+02,3.313999997615813981610699556768e+02,1.192379528976813716448918123447e-13
t1,flt,3.314000004768371354657574556768e+02,3.314000009536742936688824556768e+02,1.192379529506209308482855835365e-13
t1,flt,3.313999990463256608563824556768e+02,3.313999995231628190595074556768e+02,1.192379529506209308482855835365e-13
t1,flt,3.314000009536742936688824556768e+02,3.314000019073486100751324556768e+02,1.192379530565000492550731259200e-13
t1,flt,3.313999980926513444501324556768e+02,3.313999990463256608563824556768e+02,1.192379530565000492550731259200e-13
t1,flt,3.314000019073486100751324556768e+02,3.314000038146972428876324556768e+02,1.192379532682582860686482106871e-13
t1,flt,3.313999961853027116376324556768e+02,3.313999980926513444501324556768e+02,1.192379532682582860686482106871e-13
t1,flt,3.314000038146972428876324556768e+02,3.314000076293945085126324556768e+02,1.192379536917747596957983802213e-13
t1,flt,3.313999923706054460126324556768e+02,3.313999961853027116376324556768e+02,1.192379536917747596957983802213e-13
t1,flt,3.314000076293945085126324556768e+02,3.314000152587890397626324556768e+02,1.192379545388077069500987192896e-13
t1,flt,3.313999847412109147626324556768e+02,3.313999923706054460126324556768e+02,1.192379545388077069500987192896e-13
t1,flt,3.314000152587890397626324556768e+02,3.314000305175781022626324556768e+02,1.192379562328736014586993974262e-13
t1,flt,3.313999694824218522626324556768e+02,3.313999847412109147626324556768e+02,1.192379562328736014586993974262e-13
t1,flt,3.314000305175781022626324556768e+02,3.314000610351562272626324556768e+02,1.192379596210053904759007536995e-13
t1,flt,3.313999389648437272626324556768e+02,3.313999694824218522626324556768e+02,1.192379596210053904759007536995e-13
t1,flt,3.314000610351562272626324556768e+02,3.314001220703124772626324556768e+02,1.192379663972689685103034662461e-13
t1,flt,3.313998779296874772626324556768e+02,3.313999389648437272626324556768e+02,1.192379663972689685103034662461e-13
t1,flt,3.314001220703124772626324556768e+02,3.314002441406249772626324556768e+02,1.192379799497961245791088913393e-13
t1,flt,3.313997558593749772626324556768e+02,3.313998779296874772626324556768e+02,1.192379799497961245791088913393e-13
t1,flt,3.314002441406249772626324556768e+02,3.314004882812499772626324556768e+02,1.192380070548504367167197415256e-13
t1,flt,3.313995117187499772626324556768e+02,3.313997558593749772626324556768e+02,1.192380070548504367167197415256e-13
t1,flt,3.314004882812499772626324556768e+02,3.314009765624999772626324556768e+02,1.192380612649590609919414418982e-13
t1,flt,3.313990234374999772626324556768e+02,3.313995117187499772626324556768e+02,1.192380612649590609919414418982e-13
t1,flt,3.314009765624999772626324556768e+02,3.314019531249999772626324556768e+02,1.192381696851763095423848426435e-13
t1,flt,3.313980468749999772626324556768e+02,3.313990234374999772626324556768e+02,1.192381696851763095423848426435e-13
t1,flt,3.314019531249999772626324556768e+02,3.314039062499999772626324556768e+02,1.192383865256108066432716441341e-13
t1,flt,3.313960937499999772626324556768e+02,3.313980468749999772626324556768e+02,1.192383865256108066432716441341e-13
t1,flt,3.314039062499999772626324556768e+02,3.314078124999999772626324556768e+02,1.192388202064798008450452471152e-13
t1,flt,3.313921874999999772626324556768e+02,3.313960937499999772626324556768e+02,1.192388202064798008450452471152e-13
t1,flt,3.314078124999999772626324556768e+02,3.314156249999999772626324556768e+02,1.192396875682177892485924530774e-13
t1,flt,3.313843749999999772626324556768e+02,3.313921874999999772626324556768e+02,1.192396875682177892485924530774e-13
t1,flt,3.314156249999999772626324556768e+02,3.314312499999999772626324556768e+02,1.192414222916937660556868650019e-13
t1,flt,3.313687499999999772626324556768e+02,3.313843749999999772626324556768e+02,1.192414222916937660556868650019e-13
t1,flt,3.314312499999999772626324556768e+02,3.314624999999999772626324556768e+02,1.192448917386457196698756888509e-13
t1,flt,3.313374999999999772626324556768e+02,3.313687499999999772626324556768e+02,1.192448917386457196698756888509e-13
t1,flt,3.314624999999999772626324556768e+02,3.315249999999999772626324556768e+02,1.192518306325496268982533365488e-13
t1,flt,3.312749999999999772626324556768e+02,3.313374999999999772626324556768e+02,1.192518306325496268982533365488e-13
t1,flt,3.315249999999999772626324556768e+02,3.316499999999999772626324556768e+02,1.192657084203574413550086319447e-13
t1,flt,3.311499999999999772626324556768e+02,3.312749999999999772626324556768e+02,1.192657084203574413550086319447e-13
t1,flt,3.316499999999999772626324556768e+02,3.318999999999999772626324556768e+02,1.192934639959730702685192227364e-13
t1,flt,3.308999999999999772626324556768e+02,3.311499999999999772626324556768e+02,1.192934639959730702685192227364e-13
t1,flt,3.318999999999999772626324556768e+02,3.323999999999999772626324556768e+02,1.193489751472043280955404043198e-13
t1,flt,3.303999999999999772626324556768e+02,3.308999999999999772626324556768e+02,1.193489751472043280955404043198e-13
t1,flt,3.323999999999999772626324556768e+02,3.333999999999999772626324556768e+02,1.194599974496668437495827674866e-13
t1,flt,3.293999999999999772626324556768e+02,3.303999999999999772626324556768e+02,1.194599974496668437495827674866e-13
t1,flt,3.333999999999999772626324556768e+02,3.353999999999999772626324556768e+02,1.196820420545918750576674938202e-13
t1,flt,3.273999999999999772626324556768e+02,3.293999999999999772626324556768e+02,1.196820420545918750576674938202e-13
t1,flt,3.353999999999999772626324556768e+02,3.393999999999999772626324556768e+02,1.201261312644419376738369464874e-13
t1,flt,3.233999999999999772626324556768e+02,3.273999999999999772626324556768e+02,1.201261312644419376738369464874e-13
t1,flt,3.393999999999999772626324556768e+02,3.473999999999999772626324556768e+02,1.210143096841420629061758518219e-13
t1,flt,3.153999999999999772626324556768e+02,3.233999999999999772626324556768e+02,1.210143096841420629061758518219e-13
t1,flt,3.473999999999999772626324556768e+02,3.613999999999999772626324556768e+02,1.227906665235423133708536624908e-13
t1,flt,3.133999999999999772626324556768e+02,3.153999999999999772626324556768e+02,1.227906665235423133708536624908e-13

u,flt,-1.000000000000000000000000000000e+02,1.000000000000000000000000000000e+02,0.000000000000000000000000000000e+00

v,flt,2.000000000000000000000000000000e+01,2.000000000000000000000000000000e+04,0.000000000000000000000000000000e+00

