var,type,low,high,err
K,flt,1.110000000000000097699626167014e+00,1.110000000000000097699626167014e+00,2.220446049250313080847263336182e-16

r,flt,4.000000000000000000000000000000e+00,4.000000000000000000000000000000e+00,8.881784197001252323389053344727e-16

ret,flt,3.727705922396187115941401657437e-02,3.764705882352940846669042684880e-02,1.272842997262966815962855417281e-16
ret,flt,3.764705882352940846669042684880e-02,3.878787878787878784514475682954e-02,1.308629645333353085830374584615e-16
ret,flt,3.878787878787878784514475682954e-02,4.659632402995234068399099669477e-02,1.325521830968659716523787075782e-16
ret,flt,4.659632402995234068399099669477e-02,4.705882352941176405280998551461e-02,1.486847886951207540267395507487e-16
ret,flt,4.705882352941176405280998551461e-02,4.848484848484848480643094603693e-02,1.528949117497744288130007807160e-16
ret,flt,4.848484848484848480643094603693e-02,5.824540503744042585498874586847e-02,1.548687569474043577475966223959e-16
ret,flt,5.824540503744042585498874586847e-02,5.882352941176470506601248189327e-02,1.723957688211461063177706988463e-16
ret,flt,5.882352941176470506601248189327e-02,6.060606060606060080386825461574e-02,1.772732821707524533249248494630e-16
ret,flt,6.060606060606060080386825461574e-02,6.249999999999999306110609609277e-02,1.794592000210135854360238713242e-16
ret,flt,6.250000000000000000000000000000e-02,9.319264805990468136798199338955e-02,1.863980939249208138136715692498e-16
ret,flt,9.319264805990468136798199338955e-02,9.411764705882352810561997102923e-02,2.221356406627014302525198384998e-16
ret,flt,9.411764705882352810561997102923e-02,9.696969696969696961286189207385e-02,2.282760705075378728586926155842e-16
ret,flt,9.696969696969696961286189207385e-02,1.164908100748808517099774917369e-01,2.310312416259975860041073988852e-16
ret,flt,1.164908100748808517099774917369e-01,1.176470588235294101320249637865e-01,2.924646095170983843741687397695e-16
ret,flt,1.176470588235294101320249637865e-01,1.212121212121212016077365092315e-01,3.005658060552411748739267227530e-16
ret,flt,1.212121212121212016077365092315e-01,1.249999999999999861222121921855e-01,3.038898629513603440551330686326e-16
ret,flt,1.250000000000000000000000000000e-01,2.329816201497617034199549834739e-01,3.177676507591748008104284644837e-16
ret,flt,2.329816201497617034199549834739e-01,2.352941176470588202640499275731e-01,3.828607109471371619150676065876e-16
ret,flt,2.352941176470588202640499275731e-01,2.424242424242424032154730184629e-01,3.931306797823699568660935636401e-16
ret,flt,2.424242424242424032154730184629e-01,2.499999999999999722444243843711e-01,3.971872349110961708171873700578e-16
ret,flt,3.559910913140310606550542615878e-01,3.571016826342484073997241011966e-01,4.198844960079601293750489238801e-16
ret,flt,3.544615384615383835154034386505e-01,3.559910913140310606550542615878e-01,4.218433970592480265964704263883e-16
ret,flt,2.500000000000000000000000000000e-01,3.544615384615383835154034386505e-01,4.249428105267250843277781617601e-16

x,flt,1.000000000000000055511151231258e-01,2.999999999999999888977697537484e-01,0.000000000000000000000000000000e+00

