var,type,low,high,err
r,flt,-1.455191522836685019105349110737e-11,1.455191522836685019105349110737e-11,1.985123176950764900539070367813e-11
r,flt,1.455191522836685180664062500000e-11,2.910383045673370038210698221474e-11,1.985123176950765223656497146340e-11
r,flt,-2.910383045673370038210698221474e-11,-1.455191522836685180664062500000e-11,1.985123176950765223656497146340e-11
r,flt,2.910383045673370361328125000000e-11,5.820766091346740076421396442947e-11,1.985123176950765546773923924866e-11
r,flt,-5.820766091346740076421396442947e-11,-2.910383045673370361328125000000e-11,1.985123176950765546773923924866e-11
r,flt,5.820766091346740722656250000000e-11,1.164153218269348015284279288589e-10,1.985123176950766193008777481919e-11
r,flt,-1.164153218269348015284279288589e-10,-5.820766091346740722656250000000e-11,1.985123176950766193008777481919e-11
r,flt,1.164153218269348144531250000000e-10,2.328306436538696030568558577179e-10,1.985123176950767485478484596025e-11
r,flt,-2.328306436538696030568558577179e-10,-1.164153218269348144531250000000e-10,1.985123176950767485478484596025e-11
r,flt,2.328306436538696289062500000000e-10,4.656612873077392061137117154358e-10,1.985123176950770070417898824236e-11
r,flt,-4.656612873077392061137117154358e-10,-2.328306436538696289062500000000e-10,1.985123176950770070417898824236e-11
r,flt,4.656612873077392578125000000000e-10,9.313225746154784122274234308715e-10,1.985123176950775240296727280659e-11
r,flt,-9.313225746154784122274234308715e-10,-4.656612873077392578125000000000e-10,1.985123176950775240296727280659e-11
r,flt,9.313225746154785156250000000000e-10,1.862645149230956824454846861743e-09,1.985123176950785580054384193505e-11
r,flt,-1.862645149230956824454846861743e-09,-9.313225746154785156250000000000e-10,1.985123176950785580054384193505e-11
r,flt,1.862645149230957031250000000000e-09,3.725290298461913648909693723486e-09,1.985123176950806259569698019197e-11
r,flt,-3.725290298461913648909693723486e-09,-1.862645149230957031250000000000e-09,1.985123176950806259569698019197e-11
r,flt,3.725290298461914062500000000000e-09,7.450580596923827297819387446972e-09,1.985123176950847618600325670581e-11
r,flt,-7.450580596923827297819387446972e-09,-3.725290298461914062500000000000e-09,1.985123176950847618600325670581e-11
r,flt,7.450580596923828125000000000000e-09,1.490116119384765459563877489394e-08,1.985123176950930336661580973348e-11
r,flt,-1.490116119384765459563877489394e-08,-7.450580596923828125000000000000e-09,1.985123176950930336661580973348e-11
r,flt,1.490116119384765625000000000000e-08,2.980232238769530919127754978789e-08,1.985123176951095772784091578883e-11
r,flt,-2.980232238769530919127754978789e-08,-1.490116119384765625000000000000e-08,1.985123176951095772784091578883e-11
r,flt,2.980232238769531250000000000000e-08,5.960464477539061838255509957578e-08,1.985123176951426645029112789953e-11
r,flt,-5.960464477539061838255509957578e-08,-2.980232238769531250000000000000e-08,1.985123176951426645029112789953e-11
r,flt,5.960464477539062500000000000000e-08,1.192092895507812367651101991516e-07,1.985123176952088389519155212093e-11
r,flt,-1.192092895507812367651101991516e-07,-5.960464477539062500000000000000e-08,1.985123176952088389519155212093e-11
r,flt,1.192092895507812500000000000000e-07,2.384185791015624735302203983031e-07,1.985123176953411878499240056373e-11
r,flt,-2.384185791015624735302203983031e-07,-1.192092895507812500000000000000e-07,1.985123176953411878499240056373e-11
r,flt,2.384185791015625000000000000000e-07,4.768371582031249470604407966062e-07,1.985123176956058856459409744932e-11
r,flt,-4.768371582031249470604407966062e-07,-2.384185791015625000000000000000e-07,1.985123176956058856459409744932e-11
r,flt,4.768371582031250000000000000000e-07,9.536743164062498941208815932125e-07,1.985123176961352812379749122051e-11
r,flt,-9.536743164062498941208815932125e-07,-4.768371582031250000000000000000e-07,1.985123176961352812379749122051e-11
