var,type,low,high,err
x,flt,0.000000000000000000000000000000e+00,1.570796326794896557998981734272e+00,0.000000000000000000000000000000e+00

y,flt,                 nan,                 nan,0.000000000000000000000000000000e+00
y,flt,1.719262624616697821000599333274e-02,2.656824586468131341177034698831e-02,4.899205999364382935610182473143e-16
y,flt,-1.907348632812499788241763186425e-06,3.906249999999999132638262011596e-03,4.907879616744266971082242095550e-16
y,flt,1.953125000000000000000000000000e-03,3.130745864681316013855560953516e-03,4.907879616744266971082242095550e-16
y,flt,3.130745864681316013855560953516e-03,3.906249999999999566319131005798e-03,4.920890042814093024290331529161e-16
y,flt,3.906250000000000000000000000000e-03,7.812499999999999132638262011596e-03,4.925226851504035042026361340364e-16
y,flt,1.560532465886539134347632540312e-02,1.562499999999999826527652402319e-02,4.933871610734945761253446584710e-16
y,flt,7.812500000000000000000000000000e-03,1.094324586468131514649382296511e-02,4.933900468883919077498420962771e-16
y,flt,2.656824586468131341177034698831e-02,3.124999999999999653055304804639e-02,4.933900468883919077498420962771e-16
y,flt,4.844262624616697821000599333274e-02,5.781824586468130994232339503469e-02,4.933900468883919077498420962771e-16
y,flt,1.523950124616697821000599333274e-02,1.560532465886539134347632540312e-02,4.938498239313252604896817625781e-16
y,flt,1.401802307156380447694665747349e-02,1.523950124616697821000599333274e-02,4.940666643658223613764832531383e-16
y,flt,1.562500000000000000000000000000e-02,1.719262624616697821000599333274e-02,4.944423812571435979686179882852e-16
y,flt,3.125000000000000000000000000000e-02,4.844262624616697821000599333274e-02,4.944423812571435979686179882852e-16
y,flt,1.562500000000000000000000000000e-02,1.719262624616686718770353081709e-02,4.944423812571436965762311409116e-16
y,flt,3.125000000000000000000000000000e-02,4.844262624616686718770353081709e-02,4.944423812571436965762311409116e-16
y,flt,1.719262624616653412079614327013e-02,1.719262624616661738752299015687e-02,4.944423812571437951838442935381e-16
y,flt,4.844262624616653412079614327013e-02,4.844262624616661738752299015687e-02,4.944423812571437951838442935381e-16
y,flt,1.719262624616625656503998698099e-02,1.719262624616653412079614327013e-02,4.944423812571438937914574461646e-16
y,flt,4.844262624616625656503998698099e-02,4.844262624616653412079614327013e-02,4.944423812571438937914574461646e-16
y,flt,1.719262624616609003158629320751e-02,1.719262624616625656503998698099e-02,4.944423812571440910066837514175e-16
y,flt,4.844262624616609003158629320751e-02,4.844262624616625656503998698099e-02,4.944423812571440910066837514175e-16
y,flt,1.719262624616553492007398062924e-02,1.719262624616609003158629320751e-02,4.944423812571441896142969040440e-16
y,flt,4.844262624616553492007398062924e-02,4.844262624616609003158629320751e-02,4.944423812571441896142969040440e-16
y,flt,1.719262624616520185316659308228e-02,1.719262624616553492007398062924e-02,4.944423812571445840447495145499e-16
y,flt,4.844262624616520185316659308228e-02,4.844262624616553492007398062924e-02,4.944423812571445840447495145499e-16
y,flt,1.719262624616409163014196792574e-02,1.719262624616520185316659308228e-02,4.944423812571447812599758198029e-16
y,flt,4.844262624616409163014196792574e-02,4.844262624616520185316659308228e-02,4.944423812571447812599758198029e-16
y,flt,1.719262624616342549632719283181e-02,1.719262624616409163014196792574e-02,4.944423812571456687284941934411e-16
y,flt,4.844262624616342549632719283181e-02,4.844262624616409163014196792574e-02,4.944423812571456687284941934411e-16
y,flt,1.719262624616120505027794251873e-02,1.719262624616342549632719283181e-02,4.944423812571460631589468039470e-16
y,flt,4.844262624616120505027794251873e-02,4.844262624616342549632719283181e-02,4.944423812571460631589468039470e-16
y,flt,1.719262624615987278264839233088e-02,1.719262624616120505027794251873e-02,4.944423812571477394883703985971e-16
y,flt,4.844262624615987278264839233088e-02,4.844262624616120505027794251873e-02,4.944423812571477394883703985971e-16
y,flt,1.719262624615543189054989170472e-02,1.719262624615987278264839233088e-02,4.944423812571485283492756196089e-16
y,flt,4.844262624615543189054989170472e-02,4.844262624615987278264839233088e-02,4.944423812571485283492756196089e-16
y,flt,1.719262624615276735529079132903e-02,1.719262624615543189054989170472e-02,4.944423812571518810081228089091e-16
y,flt,4.844262624615276735529079132903e-02,4.844262624615543189054989170472e-02,4.944423812571518810081228089091e-16
y,flt,1.719262624614388210164683812309e-02,1.719262624615276735529079132903e-02,4.944423812571534587299332509327e-16
