var,type,low,high,err
ret,flt,9.549296585513712187776036444120e+00,9.549296585513719293203394045122e+00,2.299581151032697787707991085049e-14
ret,flt,9.549296585513705082348678843118e+00,9.549296585513712187776036444120e+00,2.299581151032698103252353173454e-14
ret,flt,9.549296585513690871493963641115e+00,9.549296585513705082348678843118e+00,2.299581151032698734341077350263e-14
ret,flt,9.549296585513662449784533237107e+00,9.549296585513690871493963641115e+00,2.299581151032699996518525703882e-14
ret,flt,9.549296585513660673427693836857e+00,9.549296585513662449784533237107e+00,2.299581151032700627607249880692e-14
ret,flt,9.549296585513605606365672429092e+00,9.549296585513660673427693836857e+00,2.299581151032702520873422411120e-14
ret,flt,9.549296585513602053651993628591e+00,9.549296585513605606365672429092e+00,2.299581151032703783050870764739e-14
ret,flt,9.549296585513491919527950813062e+00,9.549296585513602053651993628591e+00,2.299581151032707569583215825596e-14
ret,flt,9.549296585513484814100593212061e+00,9.549296585513491919527950813062e+00,2.299581151032710093938112532833e-14
ret,flt,9.549296585513264545852507581003e+00,9.549296585513484814100593212061e+00,2.299581151032717667002802654547e-14
ret,flt,9.549296585513250334997792378999e+00,9.549296585513264545852507581003e+00,2.299581151032722715712596069022e-14
ret,flt,9.549296585512809798501621116884e+00,9.549296585513250334997792378999e+00,2.299581151032738177386338400854e-14
ret,flt,9.549296585512781376792190712877e+00,9.549296585512809798501621116884e+00,2.299581151032748274805925229805e-14
ret,flt,9.549296585511900303799848188646e+00,9.549296585512781376792190712877e+00,2.299581151032778882609047805063e-14
ret,flt,9.549296585511843460380987380631e+00,9.549296585511900303799848188646e+00,2.299581151032799077448221462965e-14
ret,flt,9.549296585510081314396302332170e+00,9.549296585511843460380987380631e+00,2.299581151032860293054466613481e-14
ret,flt,9.549296585509965851201741315890e+00,9.549296585510081314396302332170e+00,2.299581151032900682732813929286e-14
ret,flt,9.549296585506443335589210619219e+00,9.549296585509965851201741315890e+00,2.299581151033023113945304230318e-14
ret,flt,9.549296585506210632843249186408e+00,9.549296585506443335589210619219e+00,2.299581151033103893301998861927e-14
ret,flt,9.549296585499167377975027193315e+00,9.549296585506210632843249186408e+00,2.299581151033348755726979463991e-14
ret,flt,9.549296585498701972483104327694e+00,9.549296585499167377975027193315e+00,2.299581151033510314440368727209e-14
ret,flt,9.549296585484615462746660341509e+00,9.549296585498701972483104327694e+00,2.299581151034000354834692019742e-14
ret,flt,9.549296585483682875405975210015e+00,9.549296585484615462746660341509e+00,2.299581151034323472261470546178e-14
ret,flt,9.549296585455511632289926637895e+00,9.549296585483682875405975210015e+00,2.299581151035302921961392954435e-14
ret,flt,9.549296585453646457608556374907e+00,9.549296585455511632289926637895e+00,2.299581151035949156814950007306e-14
ret,flt,9.549296585397303971376459230669e+00,9.549296585453646457608556374907e+00,2.299581151037908687303519000631e-14
ret,flt,9.549296585393573622013718704693e+00,9.549296585397303971376459230669e+00,2.299581151039201157010633106373e-14
ret,flt,9.549296585280888649549524416216e+00,9.549296585393573622013718704693e+00,2.299581151043119902443409004618e-14
ret,flt,9.549296585273427950824043364264e+00,9.549296585280888649549524416216e+00,2.299581151045704841857637216102e-14
ret,flt,9.549296585048058005895654787309e+00,9.549296585273427950824043364264e+00,2.299581151053542648267551100995e-14
ret,flt,9.549296585033134832087853283156e+00,9.549296585048058005895654787309e+00,2.299581151058712527096007523963e-14
ret,flt,9.549296584582396718587915529497e+00,9.549296585033134832087853283156e+00,2.299581151074387824371473205346e-14
ret,flt,9.549296584552550370972312521189e+00,9.549296584582396718587915529497e+00,2.299581151084727582028386051282e-14
ret,flt,9.549296583651074143972437013872e+00,9.549296584552550370972312521189e+00,2.299581151116078176579317414048e-14
ret,flt,9.549296583591379672384391597006e+00,9.549296583651074143972437013872e+00,2.299581151136757691893143105920e-14
ret,flt,9.549296581788428994741479982622e+00,9.549296583591379672384391597006e+00,2.299581151199458880995005831452e-14
ret,flt,9.549296581669038275208549748641e+00,9.549296581788428994741479982622e+00,2.299581151240817911622657215195e-14
ret,flt,9.549296578063138696279565920122e+00,9.549296581669038275208549748641e+00,2.299581151366220605370744754664e-14
ret,flt,9.549296577824355480856866051909e+00,9.549296578063138696279565920122e+00,2.299581151448938666626047522151e-14
ret,flt,9.549296570612558099355737795122e+00,9.549296577824355480856866051909e+00,2.299581151699744054122222601088e-14
ret,flt,9.549296570134989892153498658445e+00,9.549296570612558099355737795122e+00,2.299581151865180176632828136062e-14
ret,flt,9.549296555711396905508081545122e+00,9.549296570134989892153498658445e+00,2.299581152366790636080816205532e-14
ret,flt,9.549296554756260491103603271767e+00,9.549296555711396905508081545122e+00,2.299581152697662881102027275480e-14
ret,flt,9.549296525909074517812769045122e+00,9.549296554756260491103603271767e+00,2.299581153700883799998003414419e-14
ret,flt,9.549296523998799912646973098163e+00,9.549296525909074517812769045122e+00,2.299581154362628290040425554316e-14
ret,flt,9.549296466304429742422144045122e+00,9.549296523998799912646973098163e+00,2.299581156369069812288015743789e-14
ret,flt,9.549296462483880532090552151203e+00,9.549296466304429742422144045122e+00,2.299581157692558792372860023583e-14
ret,flt,9.549296347095140191640894045122e+00,9.549296462483880532090552151203e+00,2.299581161705442467956764579338e-14
ret,flt,9.549296339454039994620870857034e+00,9.549296347095140191640894045122e+00,2.299581164352420428126453138927e-14
ret,flt,9.549296108676561090078394045122e+00,9.549296339454039994620870857034e+00,2.299581172378187463749900162032e-14
ret,flt,9.549296093394358919681508268695e+00,9.549296108676561090078394045122e+00,2.299581177672143384089277281209e-14
ret,flt,9.549295631839402886953394045122e+00,9.549296093394358919681508268695e+00,2.299581193723677770880533415825e-14
ret,flt,9.549295601274998546159622492269e+00,9.549295631839402886953394045122e+00,2.299581204311589611559287654179e-14
ret,flt,9.549294678165086480703394045122e+00,9.549295601274998546159622492269e+00,2.299581236414658385141799923409e-14
ret,flt,9.549294617036276022759011539165e+00,9.549294678165086480703394045122e+00,2.299581257590482066499308400117e-14
ret,flt,9.549292770816453668203394045122e+00,9.549294617036276022759011539165e+00,2.299581321796618982575608761770e-14
ret,flt,9.549292648558832752314629033208e+00,9.549292770816453668203394045122e+00,2.299581364148266345290625715186e-14
ret,flt,9.549288956119188043203394045122e+00,9.549292648558832752314629033208e+00,2.299581492560540808531950615299e-14
ret,flt,9.549288711603946211425864021294e+00,9.549288956119188043203394045122e+00,2.299581577263835533961984522132e-14
ret,flt,9.549281326724656793203394045122e+00,9.549288711603946211425864021294e+00,2.299581834088384144900272233954e-14
ret,flt,9.549280837694173129648333997466e+00,9.549281326724656793203394045122e+00,2.299582003494973595760340047619e-14
ret,flt,9.549266067935594293203394045122e+00,9.549280837694173129648333997466e+00,2.299582517144071133181277559669e-14
ret,flt,9.549265089874625189736434549559e+00,9.549266067935594293203394045122e+00,2.299582855957250034901413186998e-14
ret,flt,9.549235550357469293203394045122e+00,9.549265089874625189736434549559e+00,2.299583883255444794198926122693e-14
ret,flt,9.549233594235531086269475053996e+00,9.549235550357469293203394045122e+00,2.299584560881802597639197377351e-14
ret,flt,9.549174515201219293203394045122e+00,9.549233594235531086269475053996e+00,2.299586615478192116234223248742e-14
ret,flt,9.549170602957341102978716662619e+00,9.549174515201219293203394045122e+00,2.299587970730907723114765758058e-14
ret,flt,9.549052444888719293203394045122e+00,9.549170602957341102978716662619e+00,2.299592079923686760304817500839e-14
ret,flt,9.549044620400961136397199879866e+00,9.549052444888719293203394045122e+00,2.299594790429117974065902519471e-14
ret,flt,9.548808304263719293203394045122e+00,9.549044620400961136397199879866e+00,2.299603008814676363990368093438e-14
ret,flt,9.548792655288201203234166314360e+00,9.548808304263719293203394045122e+00,2.299608429825538791512538130702e-14
ret,flt,9.548320023013719293203394045122e+00,9.548792655288201203234166314360e+00,2.299624866596655571361469278636e-14
ret,flt,9.548288725062683113264938583598e+00,9.548320023013719293203394045122e+00,2.299635708618380426405809353164e-14
ret,flt,9.547343460513719293203394045122e+00,9.548288725062683113264938583598e+00,2.299668582160613670559309560627e-14
ret,flt,9.547280864611645156969643721823e+00,9.547343460513719293203394045122e+00,2.299690266204063380647989709683e-14
ret,flt,9.545390335513719293203394045122e+00,9.547280864611645156969643721823e+00,2.299756013288529553410628036204e-14
ret,flt,9.545265143709571020735893398523e+00,9.545390335513719293203394045122e+00,2.299799381375428973587988334316e-14
ret,flt,9.541484085513719293203394045122e+00,9.545265143709571020735893398523e+00,2.299930875544361950201989164169e-14
ret,flt,9.541233701905420971911553351674e+00,9.541484085513719293203394045122e+00,2.300017611718160790556709760393e-14
ret,flt,9.533671585513719293203394045122e+00,9.541233701905420971911553351674e+00,2.300280600056026428240349331693e-14
ret,flt,7.549296585513719293203394045122e+00,7.999999999999999111821580299875e+00,2.300292784048820987919977659483e-14
ret,flt,9.533170818297120874262873257976e+00,9.533671585513719293203394045122e+00,2.300454072403624108949790524141e-14
ret,flt,9.518046585513719293203394045122e+00,9.533170818297120874262873257976e+00,2.300980049079355699861431755147e-14
ret,flt,9.517045051080520678965513070580e+00,9.518046585513719293203394045122e+00,2.301326993774551061280314140043e-14
ret,flt,9.486796585513719293203394045122e+00,9.517045051080520678965513070580e+00,2.302378947126014243103596602054e-14
ret,flt,9.484793516647322064727632096037e+00,9.486796585513719293203394045122e+00,2.303072836516404965941361371846e-14
ret,flt,9.424296585513719293203394045122e+00,9.484793516647322064727632096037e+00,2.305176743219331014043564207463e-14
ret,flt,9.420290447780923059895030746702e+00,9.424296585513719293203394045122e+00,2.306564522000112459719093747048e-14
ret,flt,9.299296585513719293203394045122e+00,9.420290447780923059895030746702e+00,2.310772335405964240379137329877e-14
ret,flt,9.291284310048125050229828048032e+00,9.299296585513719293203394045122e+00,2.313547892967527131730196409047e-14
ret,flt,9.049296585513719293203394045122e+00,9.291284310048125050229828048032e+00,2.321963519779231324139007751514e-14
ret,flt,7.485198381788952026738570566522e+00,7.549296585513719293203394045122e+00,2.322497244541324118728450292845e-14
ret,flt,9.033272034582529030899422650691e+00,9.049296585513719293203394045122e+00,2.327514634902357106841125909854e-14
ret,flt,8.549296585513719293203394045122e+00,9.033272034582529030899422650691e+00,2.344345888525765491658748594787e-14
ret,flt,8.517247483651336992238611856010e+00,8.549296585513719293203394045122e+00,2.355448118772017057062984911468e-14
ret,flt,8.000000000000000000000000000000e+00,8.517247483651336992238611856010e+00,2.389110626018833511153868192930e-14
ret,flt,5.549296585513719293203394045122e+00,7.485198381788952026738570566522e+00,2.389822259034957026910216855769e-14
ret,flt,5.421100178064183872095327387797e+00,5.549296585513719293203394045122e+00,2.434231180019963288527162122493e-14
ret,flt,1.549296585513719293203394045122e+00,1.999999999999999777955395074969e+00,2.502267827529719712465277348256e-14
ret,flt,2.000000000000000000000000000000e+00,3.999999999999999555910790149937e+00,2.524472288022222843273749981618e-14
ret,flt,4.000000000000000000000000000000e+00,5.421100178064183872095327387797e+00,2.568881209007229104890695248341e-14
ret,flt,1.292903770614648450987260730471e+00,1.549296585513719293203394045122e+00,2.591085669499732235699167881703e-14
