var,type,low,high,err
ret,flt,8.359375000000000000000000000000e-01,8.359375000000006661338147750939e-01,1.033895191682177028269506990910e-15
ret,flt,8.359375000000006661338147750939e-01,8.359375000000013322676295501878e-01,1.033895191682177225484733296163e-15
ret,flt,8.359375000000013322676295501878e-01,8.359375000000026645352591003757e-01,1.033895191682177422699959601415e-15
ret,flt,8.359375000000026645352591003757e-01,8.359375000000035527136788005009e-01,1.033895191682177619915185906668e-15
ret,flt,8.359375000000035527136788005009e-01,8.359375000000044408920985006262e-01,1.033895191682177817130412211921e-15
ret,flt,8.359375000000044408920985006262e-01,8.359375000000053290705182007514e-01,1.033895191682178014345638517174e-15
ret,flt,8.359375000000053290705182007514e-01,8.359375000000071054273576010019e-01,1.033895191682178211560864822427e-15
ret,flt,8.359375000000071054273576010019e-01,8.359375000000079936057773011271e-01,1.033895191682178605991317432933e-15
ret,flt,8.359375000000079936057773011271e-01,8.359375000000088817841970012523e-01,1.033895191682178803206543738186e-15
ret,flt,8.359375000000088817841970012523e-01,8.359375000000106581410364015028e-01,1.033895191682179000421770043439e-15
ret,flt,8.359375000000106581410364015028e-01,8.359375000000142108547152020037e-01,1.033895191682179394852222653945e-15
ret,flt,8.359375000000142108547152020037e-01,8.359375000000150990331349021289e-01,1.033895191682180183713127874957e-15
ret,flt,8.359375000000150990331349021289e-01,8.359375000000159872115546022542e-01,1.033895191682180380928354180210e-15
ret,flt,8.359375000000159872115546022542e-01,8.359375000000177635683940025046e-01,1.033895191682180578143580485463e-15
ret,flt,8.359375000000177635683940025046e-01,8.359375000000213162820728030056e-01,1.033895191682180972574033095969e-15
ret,flt,8.359375000000213162820728030056e-01,8.359375000000284217094304040074e-01,1.033895191682181761434938316980e-15
ret,flt,8.359375000000284217094304040074e-01,8.359375000000293098878501041327e-01,1.033895191682183339156748759004e-15
ret,flt,8.359375000000293098878501041327e-01,8.359375000000301980662698042579e-01,1.033895191682183536371975064257e-15
ret,flt,8.359375000000301980662698042579e-01,8.359375000000319744231092045084e-01,1.033895191682183733587201369510e-15
ret,flt,8.359375000000319744231092045084e-01,8.359375000000355271367880050093e-01,1.033895191682184128017653980016e-15
ret,flt,8.359375000000355271367880050093e-01,8.359375000000426325641456060112e-01,1.033895191682184916878559201028e-15
ret,flt,8.359375000000426325641456060112e-01,8.359375000000568434188608080149e-01,1.033895191682186494600369643051e-15
ret,flt,8.359375000000568434188608080149e-01,8.359375000000577315972805081401e-01,1.033895191682189650043990527098e-15
ret,flt,8.359375000000577315972805081401e-01,8.359375000000586197757002082653e-01,1.033895191682189847259216832351e-15
ret,flt,8.359375000000586197757002082653e-01,8.359375000000603961325396085158e-01,1.033895191682190044474443137604e-15
ret,flt,8.359375000000603961325396085158e-01,8.359375000000639488462184090167e-01,1.033895191682190438904895748110e-15
ret,flt,8.359375000000639488462184090167e-01,8.359375000000710542735760100186e-01,1.033895191682191227765800969122e-15
ret,flt,8.359375000000710542735760100186e-01,8.359375000000852651282912120223e-01,1.033895191682192805487611411146e-15
ret,flt,8.359375000000852651282912120223e-01,8.359375000001136868377216160297e-01,1.033895191682195960931232295193e-15
ret,flt,8.359375000001136868377216160297e-01,8.359375000001145750161413161550e-01,1.033895191682202271818474063287e-15
ret,flt,8.359375000001145750161413161550e-01,8.359375000001154631945610162802e-01,1.033895191682202469033700368540e-15
ret,flt,8.359375000001154631945610162802e-01,8.359375000001172395514004165307e-01,1.033895191682202666248926673793e-15
ret,flt,8.359375000001172395514004165307e-01,8.359375000001207922650792170316e-01,1.033895191682203060679379284299e-15
ret,flt,8.359375000001207922650792170316e-01,8.359375000001278976924368180335e-01,1.033895191682203849540284505311e-15
ret,flt,8.359375000001278976924368180335e-01,8.359375000001421085471520200372e-01,1.033895191682205427262094947335e-15
ret,flt,8.359375000001421085471520200372e-01,8.359375000001705302565824240446e-01,1.033895191682208582705715831382e-15
ret,flt,8.359375000001705302565824240446e-01,8.359375000002273736754432320595e-01,1.033895191682214893592957599476e-15
ret,flt,8.359375000002273736754432320595e-01,8.359375000002282618538629321847e-01,1.033895191682227515367441135665e-15
ret,flt,8.359375000002282618538629321847e-01,8.359375000002291500322826323099e-01,1.033895191682227712582667440918e-15
ret,flt,8.359375000002291500322826323099e-01,8.359375000002309263891220325604e-01,1.033895191682227909797893746171e-15
ret,flt,8.359375000002309263891220325604e-01,8.359375000002344791028008330613e-01,1.033895191682228304228346356677e-15
ret,flt,8.359375000002344791028008330613e-01,8.359375000002415845301584340632e-01,1.033895191682229093089251577689e-15
ret,flt,8.359375000002415845301584340632e-01,8.359375000002557953848736360669e-01,1.033895191682230670811062019712e-15
ret,flt,8.359375000002557953848736360669e-01,8.359375000002842170943040400743e-01,1.033895191682233826254682903760e-15
ret,flt,8.359375000002842170943040400743e-01,8.359375000003410605131648480892e-01,1.033895191682240137141924671854e-15
ret,flt,8.359375000003410605131648480892e-01,8.359375000004547473508864641190e-01,1.033895191682252758916408208043e-15
ret,flt,8.359375000004547473508864641190e-01,8.359375000004556355293061642442e-01,1.033895191682278002465375280421e-15
ret,flt,8.359375000004556355293061642442e-01,8.359375000004565237077258643694e-01,1.033895191682278199680601585674e-15
ret,flt,8.359375000004565237077258643694e-01,8.359375000004583000645652646199e-01,1.033895191682278396895827890927e-15
ret,flt,8.359375000004583000645652646199e-01,8.359375000004618527782440651208e-01,1.033895191682278791326280501432e-15
ret,flt,8.359375000004618527782440651208e-01,8.359375000004689582056016661227e-01,1.033895191682279580187185722444e-15
ret,flt,8.359375000004689582056016661227e-01,8.359375000004831690603168681264e-01,1.033895191682281157908996164468e-15
ret,flt,8.359375000004831690603168681264e-01,8.359375000005115907697472721338e-01,1.033895191682284313352617048515e-15
ret,flt,8.359375000005115907697472721338e-01,8.359375000005684341886080801487e-01,1.033895191682290624239858816610e-15
ret,flt,8.359375000005684341886080801487e-01,8.359375000006821210263296961784e-01,1.033895191682303246014342352798e-15
ret,flt,8.359375000006821210263296961784e-01,8.359375000009094947017729282379e-01,1.033895191682328489563309425176e-15
ret,flt,8.359375000009094947017729282379e-01,8.359375000009103828801926283631e-01,1.033895191682378976661243569932e-15
ret,flt,8.359375000009103828801926283631e-01,8.359375000009112710586123284884e-01,1.033895191682379173876469875185e-15
ret,flt,8.359375000009112710586123284884e-01,8.359375000009130474154517287388e-01,1.033895191682379371091696180438e-15
ret,flt,8.359375000009130474154517287388e-01,8.359375000009166001291305292398e-01,1.033895191682379765522148790944e-15
ret,flt,8.359375000009166001291305292398e-01,8.359375000009237055564881302416e-01,1.033895191682380554383054011955e-15
ret,flt,8.359375000009237055564881302416e-01,8.359375000009379164112033322453e-01,1.033895191682382132104864453979e-15
ret,flt,8.359375000009379164112033322453e-01,8.359375000009663381206337362528e-01,1.033895191682385287548485338026e-15
ret,flt,8.359375000009663381206337362528e-01,8.359375000010231815394945442677e-01,1.033895191682391598435727106121e-15
ret,flt,8.359375000010231815394945442677e-01,8.359375000011368683772161602974e-01,1.033895191682404220210210642310e-15
ret,flt,8.359375000011368683772161602974e-01,8.359375000013642420526593923569e-01,1.033895191682429463759177714687e-15
ret,flt,8.359375000013642420526593923569e-01,8.359375000018189894035458564758e-01,1.033895191682479950857111859443e-15
ret,flt,8.359375000018189894035458564758e-01,8.359375000018198775819655566011e-01,1.033895191682580925052980148954e-15
ret,flt,8.359375000018198775819655566011e-01,8.359375000018207657603852567263e-01,1.033895191682581122268206454207e-15
ret,flt,8.359375000018207657603852567263e-01,8.359375000018225421172246569768e-01,1.033895191682581319483432759460e-15
ret,flt,8.359375000018225421172246569768e-01,8.359375000018260948309034574777e-01,1.033895191682581713913885369966e-15
ret,flt,8.359375000018260948309034574777e-01,8.359375000018332002582610584795e-01,1.033895191682582502774790590978e-15
ret,flt,8.359375000018332002582610584795e-01,8.359375000018474111129762604833e-01,1.033895191682584080496601033001e-15
ret,flt,8.359375000018474111129762604833e-01,8.359375000018758328224066644907e-01,1.033895191682587235940221917048e-15
ret,flt,8.359375000018758328224066644907e-01,8.359375000019326762412674725056e-01,1.033895191682593546827463685143e-15
ret,flt,8.359375000019326762412674725056e-01,8.359375000020463630789890885353e-01,1.033895191682606168601947221332e-15
ret,flt,8.359375000020463630789890885353e-01,8.359375000022737367544323205948e-01,1.033895191682631412150914293709e-15
ret,flt,8.359375000022737367544323205948e-01,8.359375000027284841053187847137e-01,1.033895191682681899248848438465e-15
ret,flt,8.359375000027284841053187847137e-01,8.359375000036379788070917129517e-01,1.033895191682782873444716727976e-15
ret,flt,8.359375000036379788070917129517e-01,8.359375000036388669855114130769e-01,1.033895191682984821836453306998e-15
ret,flt,8.359375000036388669855114130769e-01,8.359375000036397551639311132021e-01,1.033895191682985019051679612251e-15
ret,flt,8.359375000036397551639311132021e-01,8.359375000036415315207705134526e-01,1.033895191682985216266905917504e-15
ret,flt,8.359375000036415315207705134526e-01,8.359375000036450842344493139535e-01,1.033895191682985610697358528010e-15
ret,flt,8.359375000036450842344493139535e-01,8.359375000036521896618069149554e-01,1.033895191682986399558263749022e-15
ret,flt,8.359375000036521896618069149554e-01,8.359375000036664005165221169591e-01,1.033895191682987977280074191046e-15
ret,flt,8.359375000036664005165221169591e-01,8.359375000036948222259525209665e-01,1.033895191682991132723695075093e-15
ret,flt,8.359375000036948222259525209665e-01,8.359375000037516656448133289814e-01,1.033895191682997443610936843187e-15
ret,flt,8.359375000037516656448133289814e-01,8.359375000038653524825349450111e-01,1.033895191683010065385420379376e-15
ret,flt,8.359375000038653524825349450111e-01,8.359375000040927261579781770706e-01,1.033895191683035308934387451754e-15
ret,flt,8.359375000040927261579781770706e-01,8.359375000045474735088646411896e-01,1.033895191683085796032321596509e-15
ret,flt,8.359375000045474735088646411896e-01,8.359375000054569682106375694275e-01,1.033895191683186770228189886021e-15
ret,flt,8.359375000054569682106375694275e-01,8.359375000072759576141834259033e-01,1.033895191683388718619926465043e-15
ret,flt,8.359375000072759576141834259033e-01,8.359375000072768457926031260286e-01,1.033895191683792615403399623087e-15
ret,flt,8.359375000072768457926031260286e-01,8.359375000072777339710228261538e-01,1.033895191683792812618625928340e-15
ret,flt,8.359375000072777339710228261538e-01,8.359375000072795103278622264042e-01,1.033895191683793009833852233593e-15
ret,flt,8.359375000072795103278622264042e-01,8.359375000072830630415410269052e-01,1.033895191683793404264304844099e-15
ret,flt,8.359375000072830630415410269052e-01,8.359375000072901684688986279070e-01,1.033895191683794193125210065111e-15
ret,flt,8.359375000072901684688986279070e-01,8.359375000073043793236138299108e-01,1.033895191683795770847020507134e-15
ret,flt,8.359375000073043793236138299108e-01,8.359375000073328010330442339182e-01,1.033895191683798926290641391182e-15
ret,flt,8.359375000073328010330442339182e-01,8.359375000073896444519050419331e-01,1.033895191683805237177883159276e-15
ret,flt,8.359375000073896444519050419331e-01,8.359375000075033312896266579628e-01,1.033895191683817858952366695465e-15
ret,flt,8.359375000075033312896266579628e-01,8.359375000077307049650698900223e-01,1.033895191683843102501333767843e-15
ret,flt,8.359375000077307049650698900223e-01,8.359375000081854523159563541412e-01,1.033895191683893589599267912598e-15
