var,type,low,high,err
r,flt,3.799999999999999822364316059975e+00,7.799999999999999822364316059975e+00,0.000000000000000000000000000000e+00

ret,flt,-1.564032727272727019141029813909e+00,-1.550528572148073269687529318617e+00,3.544765927248468303472720245278e-15
ret,flt,-1.571532208511709605147643742384e+00,-1.564032727272727019141029813909e+00,3.552484695301672672394981074813e-15
ret,flt,-1.585036363636363354601144237677e+00,-1.571532208511709605147643742384e+00,3.796286953477297845871830571625e-15
ret,flt,-1.611495844875346250546499504708e+00,-1.585036363636363354601144237677e+00,3.804005721530502214794091401160e-15
ret,flt,-1.621415844875345957376566730090e+00,-1.611495844875346250546499504708e+00,3.824042529092926759382421363327e-15
ret,flt,-1.634919999999999706830067225383e+00,-1.621415844875345957376566730090e+00,4.603556482479084583123717426228e-15
ret,flt,-1.650295844875345974145375294029e+00,-1.634919999999999706830067225383e+00,4.611275250532288952045978255763e-15
ret,flt,-1.663799999999999723598875789321e+00,-1.650295844875345974145375294029e+00,5.114614345174537549317108921936e-15
ret,flt,-1.722495844875346016067396703875e+00,-1.663799999999999723598875789321e+00,5.122333113227741918239369751471e-15
ret,flt,-1.735999999999999765520897199167e+00,-1.722495844875346016067396703875e+00,5.699035745337220274051357962191e-15
ret,flt,-1.811495844875345984092973594670e+00,-1.735999999999999765520897199167e+00,5.706754513390423854112713570715e-15
ret,flt,-1.824999999999999733546474089962e+00,-1.811495844875345984092973594670e+00,6.470848914268821412714856237814e-15
ret,flt,-1.861495844875346250546499504708e+00,-1.824999999999999733546474089962e+00,6.478567682322025781637117067349e-15
ret,flt,-1.875000000000000000000000000000e+00,-1.861495844875346250546499504708e+00,7.646575097346864145398527122432e-15
ret,flt,-1.986495844875346250546499504708e+00,-1.875000000000000000000000000000e+00,7.654293865400067725459882730955e-15
ret,flt,-1.999999999999999777955395074969e+00,-1.986495844875346250546499504708e+00,8.863379532336036597227041278192e-15
ret,flt,-2.236495844875346250546499504708e+00,-2.000000000000000000000000000000e+00,9.093142905314271485373123220334e-15
ret,flt,-2.250000000000000000000000000000e+00,-2.236495844875346250546499504708e+00,9.777509415236773349085410978564e-15
ret,flt,-2.261495844875346161728657534695e+00,-2.250000000000000000000000000000e+00,9.785228183289978506868577029111e-15
ret,flt,-2.274999999999999911182158029987e+00,-2.261495844875346161728657534695e+00,1.085137263580545910514491717589e-14
ret,flt,-2.361495844875346250546499504708e+00,-2.274999999999999911182158029987e+00,1.085909140385866268520627278441e-14
ret,flt,-2.611495844875346250546499504708e+00,-2.500000000000000000000000000000e+00,1.304650831812637899980661593818e-14
ret,flt,-2.375000000000000000000000000000e+00,-2.361495844875346250546499504708e+00,1.326083415499820672782998666327e-14
ret,flt,-2.500000000000000000000000000000e+00,-2.375000000000000000000000000000e+00,1.326855292305141030789134227179e-14
ret,flt,-2.625000000000000000000000000000e+00,-2.611495844875346250546499504708e+00,1.550403977625333848387293807965e-14
ret,flt,-3.111495844875346250546499504708e+00,-2.625000000000000000000000000000e+00,1.551175854430654048621248324615e-14
ret,flt,-3.125000000000000000000000000000e+00,-3.111495844875346250546499504708e+00,1.691985168840656595416906380961e-14
ret,flt,-3.161495844875346072910815564683e+00,-3.125000000000000000000000000000e+00,1.692757045645977111195222986016e-14
ret,flt,-3.174999999999999822364316059975e+00,-3.161495844875346072910815564683e+00,1.748495520794077101189792683476e-14
ret,flt,-3.361495844875346250546499504708e+00,-3.174999999999999822364316059975e+00,1.749267397599397616968109288530e-14
ret,flt,-3.861495844875346250546499504708e+00,-3.500000000000000000000000000000e+00,2.251837605271590808288258161186e-14
ret,flt,-3.375000000000000000000000000000e+00,-3.361495844875346250546499504708e+00,2.262167958712521857914177872812e-14
ret,flt,-3.500000000000000000000000000000e+00,-3.375000000000000000000000000000e+00,2.262939835517842373692494477867e-14
ret,flt,-3.875000000000000000000000000000e+00,-3.861495844875346250546499504708e+00,2.604560739506920172846149329860e-14
ret,flt,-3.999999999999999555910790149937e+00,-3.875000000000000000000000000000e+00,2.605332616312240688624465934915e-14
ret,flt,-4.500000000000014210854715202004e+00,-4.499999999999985789145284797996e+00,2.638639307050995384837174884958e-14
ret,flt,-4.499999999999985789145284797996e+00,-4.499999999999971578290569595993e+00,2.638639307050995700381536973362e-14
ret,flt,-4.500000000000028421709430404007e+00,-4.500000000000014210854715202004e+00,2.638639307050995700381536973362e-14
ret,flt,-4.499999999999971578290569595993e+00,-4.499999999999943156581139191985e+00,2.638639307050996015925899061767e-14
ret,flt,-4.500000000000056843418860808015e+00,-4.500000000000028421709430404007e+00,2.638639307050996015925899061767e-14
ret,flt,-4.499999999999943156581139191985e+00,-4.499999999999886313162278383970e+00,2.638639307050996647014623238577e-14
ret,flt,-4.500000000000113686837721616030e+00,-4.500000000000056843418860808015e+00,2.638639307050996647014623238577e-14
ret,flt,-4.499999999999886313162278383970e+00,-4.499999999999772626324556767941e+00,2.638639307050997909192071592195e-14
ret,flt,-4.500000000000227373675443232059e+00,-4.500000000000113686837721616030e+00,2.638639307050997909192071592195e-14
ret,flt,-4.499999999999772626324556767941e+00,-4.499999999999545252649113535881e+00,2.638639307051000433546968299433e-14
ret,flt,-4.500000000000454747350886464119e+00,-4.500000000000227373675443232059e+00,2.638639307051000433546968299433e-14
ret,flt,-4.499999999999545252649113535881e+00,-4.499999999999090505298227071762e+00,2.638639307051005482256761713909e-14
ret,flt,-4.500000000000909494701772928238e+00,-4.500000000000454747350886464119e+00,2.638639307051005482256761713909e-14
ret,flt,-4.499999999999090505298227071762e+00,-4.499999999998181010596454143524e+00,2.638639307051015579676348542860e-14
ret,flt,-4.500000000001818989403545856476e+00,-4.500000000000909494701772928238e+00,2.638639307051015579676348542860e-14
ret,flt,-4.499999999998181010596454143524e+00,-4.499999999996362021192908287048e+00,2.638639307051035774515522200762e-14
ret,flt,-4.500000000003637978807091712952e+00,-4.500000000001818989403545856476e+00,2.638639307051035774515522200762e-14
ret,flt,-4.499999999996362021192908287048e+00,-4.499999999992724042385816574097e+00,2.638639307051076164193869516567e-14
ret,flt,-4.500000000007275957614183425903e+00,-4.500000000003637978807091712952e+00,2.638639307051076164193869516567e-14
ret,flt,-4.499999999992724042385816574097e+00,-4.499999999985448084771633148193e+00,2.638639307051156943550564148175e-14
ret,flt,-4.500000000014551915228366851807e+00,-4.500000000007275957614183425903e+00,2.638639307051156943550564148175e-14
ret,flt,-4.499999999985448084771633148193e+00,-4.499999999970896169543266296387e+00,2.638639307051318502263953411393e-14
ret,flt,-4.500000000029103830456733703613e+00,-4.500000000014551915228366851807e+00,2.638639307051318502263953411393e-14
ret,flt,-4.499999999970896169543266296387e+00,-4.499999999941792339086532592773e+00,2.638639307051641619690731937829e-14
ret,flt,-4.500000000058207660913467407227e+00,-4.500000000029103830456733703613e+00,2.638639307051641619690731937829e-14
ret,flt,-4.499999999941792339086532592773e+00,-4.499999999883584678173065185547e+00,2.638639307052287854544288990700e-14
ret,flt,-4.500000000116415321826934814453e+00,-4.500000000058207660913467407227e+00,2.638639307052287854544288990700e-14
ret,flt,-4.499999999883584678173065185547e+00,-4.499999999767169356346130371094e+00,2.638639307053580324251403096442e-14
ret,flt,-4.500000000232830643653869628906e+00,-4.500000000116415321826934814453e+00,2.638639307053580324251403096442e-14
ret,flt,-4.499999999767169356346130371094e+00,-4.499999999534338712692260742188e+00,2.638639307056165263665631307926e-14
ret,flt,-4.500000000465661287307739257812e+00,-4.500000000232830643653869628906e+00,2.638639307056165263665631307926e-14
ret,flt,-4.499999999534338712692260742188e+00,-4.499999999068677425384521484375e+00,2.638639307061335142494087730894e-14
ret,flt,-4.500000000931322574615478515625e+00,-4.500000000465661287307739257812e+00,2.638639307061335142494087730894e-14
ret,flt,-4.499999999068677425384521484375e+00,-4.499999998137354850769042968750e+00,2.638639307071674900151000576829e-14
ret,flt,-4.500000001862645149230957031250e+00,-4.500000000931322574615478515625e+00,2.638639307071674900151000576829e-14
ret,flt,-4.499999998137354850769042968750e+00,-4.499999996274709701538085937500e+00,2.638639307092354415464826268701e-14
ret,flt,-4.500000003725290298461914062500e+00,-4.500000001862645149230957031250e+00,2.638639307092354415464826268701e-14
ret,flt,-4.499999996274709701538085937500e+00,-4.499999992549419403076171875000e+00,2.638639307133713446092477652445e-14
ret,flt,-4.500000007450580596923828125000e+00,-4.500000003725290298461914062500e+00,2.638639307133713446092477652445e-14
ret,flt,-4.499999992549419403076171875000e+00,-4.499999985098838806152343750000e+00,2.638639307216431507347780419932e-14
ret,flt,-4.500000014901161193847656250000e+00,-4.500000007450580596923828125000e+00,2.638639307216431507347780419932e-14
ret,flt,-4.499999985098838806152343750000e+00,-4.499999970197677612304687500000e+00,2.638639307381867629858385954906e-14
ret,flt,-4.500000029802322387695312500000e+00,-4.500000014901161193847656250000e+00,2.638639307381867629858385954906e-14
ret,flt,-4.499999970197677612304687500000e+00,-4.499999940395355224609375000000e+00,2.638639307712739874879597024855e-14
ret,flt,-4.500000059604644775390625000000e+00,-4.500000029802322387695312500000e+00,2.638639307712739874879597024855e-14
ret,flt,-4.499999940395355224609375000000e+00,-4.499999880790710449218750000000e+00,2.638639308374484364922019164752e-14
ret,flt,-4.500000119209289550781250000000e+00,-4.500000059604644775390625000000e+00,2.638639308374484364922019164752e-14
ret,flt,-4.499999880790710449218750000000e+00,-4.499999761581420898437500000000e+00,2.638639309697973345006863444546e-14
ret,flt,-4.500000238418579101562500000000e+00,-4.500000119209289550781250000000e+00,2.638639309697973345006863444546e-14
ret,flt,-4.499999761581420898437500000000e+00,-4.499999523162841796875000000000e+00,2.638639312344951305176552004135e-14
ret,flt,-4.500000476837158203125000000000e+00,-4.500000238418579101562500000000e+00,2.638639312344951305176552004135e-14
ret,flt,-4.499999523162841796875000000000e+00,-4.499999046325683593750000000000e+00,2.638639317638907225515929123312e-14
ret,flt,-4.500000953674316406250000000000e+00,-4.500000476837158203125000000000e+00,2.638639317638907225515929123312e-14
ret,flt,-4.499999046325683593750000000000e+00,-4.499998092651367187500000000000e+00,2.638639328226819066194683361666e-14
ret,flt,-4.500001907348632812500000000000e+00,-4.500000953674316406250000000000e+00,2.638639328226819066194683361666e-14
ret,flt,-4.499998092651367187500000000000e+00,-4.499996185302734375000000000000e+00,2.638639349402642747552191838374e-14
ret,flt,-4.500003814697265625000000000000e+00,-4.500001907348632812500000000000e+00,2.638639349402642747552191838374e-14
ret,flt,-4.499996185302734375000000000000e+00,-4.499992370605468750000000000000e+00,2.638639391754290110267208791790e-14
ret,flt,-4.500007629394531250000000000000e+00,-4.500003814697265625000000000000e+00,2.638639391754290110267208791790e-14
ret,flt,-4.499992370605468750000000000000e+00,-4.499984741210937500000000000000e+00,2.638639476457584835697242698622e-14
ret,flt,-4.500015258789062500000000000000e+00,-4.500007629394531250000000000000e+00,2.638639476457584835697242698622e-14
ret,flt,-4.499984741210937500000000000000e+00,-4.499969482421875000000000000000e+00,2.638639645864174286557310512287e-14
ret,flt,-4.500030517578125000000000000000e+00,-4.500015258789062500000000000000e+00,2.638639645864174286557310512287e-14
ret,flt,-4.499969482421875000000000000000e+00,-4.499938964843750000000000000000e+00,2.638639984677353188277446139616e-14
ret,flt,-4.500061035156250000000000000000e+00,-4.500030517578125000000000000000e+00,2.638639984677353188277446139616e-14
ret,flt,-4.499938964843750000000000000000e+00,-4.499877929687500000000000000000e+00,2.638640662303710991717717394274e-14
ret,flt,-4.500122070312500000000000000000e+00,-4.500061035156250000000000000000e+00,2.638640662303710991717717394274e-14
