var,type,low,high,err
K,flt,1.110000000000000097699626167014e+00,1.110000000000000097699626167014e+00,2.220446049250313080847263336182e-16

r,flt,4.000000000000000000000000000000e+00,4.000000000000000000000000000000e+00,8.881784197001252323389053344727e-16

ret,flt,3.148936170212765506271068716160e-01,3.200000000000000066613381477509e-01,4.902557812139618491666700716623e-16
ret,flt,3.200000000000000066613381477509e-01,3.555555555555555691249480787519e-01,5.494687705082938045907624229269e-16
ret,flt,3.555555555555555691249480787519e-01,3.936170212765957021616713973344e-01,5.663150700307688297613822514477e-16
ret,flt,3.936170212765957021616713973344e-01,3.999999999999999666933092612453e-01,7.118375904686357248318171792302e-16
ret,flt,3.999999999999999666933092612453e-01,4.444444444444444197728216749965e-01,8.065788111986295755788025494044e-16
ret,flt,4.444444444444444197728216749965e-01,4.999999999999999444888487687422e-01,8.326864154747907094918373991484e-16
ret,flt,5.000000000000000000000000000000e-01,7.872340425531914043233427946689e-01,8.881975667060485365130189825530e-16
ret,flt,7.872340425531914043233427946689e-01,7.999999999999999333866185224906e-01,9.270357389777732824226556027272e-16
ret,flt,7.999999999999999333866185224906e-01,8.888888888888888395456433499930e-01,1.043883171568255218370501117216e-15
ret,flt,8.888888888888888395456433499930e-01,9.999999999999998889776975374843e-01,1.076223629335487140699615505600e-15
ret,flt,1.000000000000000000000000000000e+00,1.100826446280991577353347565804e+00,1.187245931798002794741978672409e-15

x,flt,1.000000000000000055511151231258e-01,2.999999999999999888977697537484e-01,0.000000000000000000000000000000e+00

